M	#772	2016/01/13	"Lars Kiesow"	"MH-11146 Temporarily Fix for Feed/Worker"	lkiesow/matterhorn	t/MH-11146-feed	r/2.1.x	"Tobias M Schiebeck (52)"
	#771	2016/01/11	"Greg Logan"	"T/mh 9738 customizing email body"	greg_logan/matterhorn	t/MH-9738-customizing-email-bo…	develop	
M	#770	2016/01/07	"Lars Kiesow"	"MH-11266, Logger ConversionPattern stated twice"	lkiesow/matterhorn	t/MH-11266-logger-conversionpa…	r/2.1.x	"Greg Logan (52)"
M	#769	2016/01/07	"Lars Kiesow"	"MH-11265, Ensure config files end with newline"	lkiesow/matterhorn	t/MH-11265-cfg-newline	r/2.1.x	"Greg Logan (52)"
M	#768	2016/01/07	"Christian Greweling"	"T/mh 11209 lti documentation"	cgreweling/matterhorn	t/MH-11209-LTI-Documentation	develop	"Edmore Moyo (38)"
M	#767	2016/01/06	"Basil Brunner"	"MH-11263 [Workaround] Fix broken worker assembly"	entwinemedia/matterhorn	pr/MH-11263-fix-broken-worker-…	r/2.1.x	"Greg Logan (59)"
	#766	2016/01/05	"Sven Stauber"	"MH-11262 Replaced WOH prepare-av configuration key …"	staubesv/switch-opencast	f/MH-11262-prepare-av-audio-mu…	develop	
M	#765	2015/12/28	"Per Pascal Grube"	"fixed typo in NormalizeAudioWorkflowOperationHandler"	pascalgrube/matterhorn-1	pascalgrube/fixed-typo-in-norm…	develop	"Rüdiger Rolf (52)"
✔	#764	2015/12/22	"Sven Stauber"	"MH-11261 Add column 'email' to users table"	staubesv/switch-opencast	f/MH-11261-add-column-email-to…	develop	"Greg Logan (73)"
M	#763	2015/12/15	"Lars Kiesow"	"MH-11258, Make host configuration easier"	opencast-community/matterhorn	t/MH-11258-host-configuration	r/2.1.x	"Edmore Moyo (80)"
M	#762	2015/12/15	"Lars Kiesow"	"MH-11257, Deprecated Mkdocs Config"	opencast-community/matterhorn	t/MH-11257-mkdocs-config	r/2.1.x	"Tobias M Schiebeck (80)"
M	#761	2015/12/15	"Lars Kiesow"	"Fix Apply ACL WOH"	lkiesow/matterhorn	fix-apply-acl-woh	r/2.0.x	
M	#760	2015/12/14	"Lars Kiesow"	"MH-11236, ACL Publication Fix"	lkiesow/matterhorn	t/MH-11236-acl-20	r/2.0.x	
M	#759	2015/12/14	"Lars Kiesow"	"MH-11236, ACL Publication Fix"	lkiesow/matterhorn	t/MH-11236-acl	r/2.1.x	
M	#758	2015/12/14	"Rüdiger Rolf"	"MH-11151 fixed detection if player is using Flash fallback"	opencast-community/matterhorn	t/MH-11151-deactivate-playback…	r/2.1.x	"Tobias M Schiebeck (80)"
