date,close
07-Sep-2015,997
08-Sep-2015,1467
09-Sep-2015,1345
10-Sep-2015,1255
11-Sep-2015,1669
12-Sep-2015,1146
13-Sep-2015,990
14-Sep-2015,1253
15-Sep-2015,1529
16-Sep-2015,1979
17-Sep-2015,1173
18-Sep-2015,1040
19-Sep-2015,1474
20-Sep-2015,1274
21-Sep-2015,1525
22-Sep-2015,1241
23-Sep-2015,1762
24-Sep-2015,1605
25-Sep-2015,1267
26-Sep-2015,976
27-Sep-2015,1033
28-Sep-2015,1280
29-Sep-2015,1269
30-Sep-2015,2750
01-Oct-2015,1736
02-Oct-2015,1163
03-Oct-2015,1517
04-Oct-2015,1201
05-Oct-2015,1494
06-Oct-2015,1432
07-Oct-2015,1714
08-Oct-2015,2360
09-Oct-2015,1217
10-Oct-2015,1069
11-Oct-2015,1065
12-Oct-2015,1082
13-Oct-2015,1698
14-Oct-2015,1318
15-Oct-2015,1191
16-Oct-2015,1452
17-Oct-2015,1094
18-Oct-2015,1085
19-Oct-2015,1036
20-Oct-2015,1936
21-Oct-2015,1257
22-Oct-2015,1178
23-Oct-2015,1076
24-Oct-2015,1088
25-Oct-2015,1309
26-Oct-2015,973
27-Oct-2015,1240
28-Oct-2015,1353
29-Oct-2015,1398
30-Oct-2015,1421
31-Oct-2015,1088
01-Nov-2015,1672
02-Nov-2015,1465
03-Nov-2015,1105
04-Nov-2015,1355
05-Nov-2015,1081
06-Nov-2015,1118
07-Nov-2015,1082
08-Nov-2015,1131
09-Nov-2015,1524
10-Nov-2015,1287
11-Nov-2015,2672
12-Nov-2015,1319
13-Nov-2015,1513
14-Nov-2015,1352
15-Nov-2015,1275
16-Nov-2015,1689
17-Nov-2015,2159
18-Nov-2015,1545
19-Nov-2015,1482
20-Nov-2015,1681
21-Nov-2015,1595
22-Nov-2015,1504
23-Nov-2015,2214
24-Nov-2015,1252
25-Nov-2015,1657
26-Nov-2015,1192
27-Nov-2015,1605
28-Nov-2015,1209
29-Nov-2015,1367
30-Nov-2015,1691
01-Dec-2015,1221
02-Dec-2015,1449
03-Dec-2015,1412
04-Dec-2015,1377
05-Dec-2015,1199
06-Dec-2015,1349
07-Dec-2015,1385
08-Dec-2015,1698
09-Dec-2015,1543
10-Dec-2015,2102
11-Dec-2015,1837
12-Dec-2015,1390
13-Dec-2015,1393
14-Dec-2015,2662
15-Dec-2015,1461
16-Dec-2015,1556
17-Dec-2015,2186
18-Dec-2015,1658
19-Dec-2015,1511
20-Dec-2015,1493
21-Dec-2015,2036
22-Dec-2015,2000
23-Dec-2015,1646
24-Dec-2015,1558
25-Dec-2015,1548
26-Dec-2015,1688
27-Dec-2015,1547
28-Dec-2015,1596
29-Dec-2015,2015
30-Dec-2015,1594
31-Dec-2015,1562
01-Jan-2016,1574
02-Jan-2016,1560
03-Jan-2016,1566
04-Jan-2016,1770
05-Jan-2016,1698
06-Jan-2016,2187
07-Jan-2016,2351
08-Jan-2016,1779
09-Jan-2016,1628
10-Jan-2016,1602
11-Jan-2016,1875
12-Jan-2016,1844
13-Jan-2016,2040
14-Jan-2016,2242
15-Jan-2016,2814
16-Jan-2016,1655
17-Jan-2016,1646
18-Jan-2016,1873
19-Jan-2016,1740
20-Jan-2016,2054
21-Jan-2016,3540
22-Jan-2016,2744
23-Jan-2016,1963
24-Jan-2016,1945
25-Jan-2016,2288
26-Jan-2016,2745
27-Jan-2016,2051
28-Jan-2016,1884
29-Jan-2016,1987
30-Jan-2016,1852
31-Jan-2016,1819
01-Feb-2016,2698
02-Feb-2016,1922
03-Feb-2016,2149
04-Feb-2016,2246
05-Feb-2016,2336
06-Feb-2016,2151
07-Feb-2016,2152
08-Feb-2016,2280
09-Feb-2016,3017
10-Feb-2016,2831
11-Feb-2016,2994
12-Feb-2016,3235
13-Feb-2016,2362
14-Feb-2016,2357
15-Feb-2016,3105
16-Feb-2016,2925
17-Feb-2016,2795
18-Feb-2016,2820
19-Feb-2016,2754
20-Feb-2016,2518
21-Feb-2016,3038
22-Feb-2016,2841
23-Feb-2016,2531
24-Feb-2016,3033
25-Feb-2016,2931
26-Feb-2016,2402
